0|0
500|0.004
1000|0.009
1500|0.008
2000|0.006
2500|0.002
3000|-0.003
3500|-0.004
4000|-0.004
4500|0.676
5000|1.241
5500|1.813
6000|2.357
6500|2.952
7000|3.518
7500|4.162
8000|4.782
8500|5.904
9000|7.079
9500|7.551
10000|7.978
10500|8.57
11000|9.082
11500|16.875
12000|17.042
12500|17.328
13000|17.566
13500|17.763
14000|17.887
14500|18.124
15000|18.552
15500|20.979
16000|22.92
16500|23.515
17000|23.975
17500|25.4185
18000|26.862
18500|27.3115
19000|27.761
19500|28.6245
20000|29.488
20500|29.905
21000|30.322
